date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winp,bsl_h_mu,bsl_h_s,bsl_a_mu,bsl_a_s
1998-07-29,Trinidad and Tobago,Haiti,4.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,0.6000162363836126,22.742018400472773,0.24692918936642394,22.195371470274214,0.31043140493519855
1998-07-31,Trinidad and Tobago,Jamaica,1.0,2.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,0.6133064453806736,22.76631310719322,0.24570352030384598,22.157387824578702,0.2331114065102938
1998-07-31,Libya,Algeria,0.0,2.0,African Cup of Nations qualification,Tripoli,Libya,False,0.37686824752134507,22.666194530100075,0.3338671922114686,23.341407477617718,0.20208115788297415
1998-07-31,Antigua and Barbuda,Haiti,2.0,3.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,0.2714520787446414,20.813987358148598,0.33533537999556273,22.156974398978146,0.30799256649174106
1998-07-31,Kenya,Djibouti,3.0,0.0,African Cup of Nations qualification,Nairobi,Kenya,False,0.7587127918580425,22.105560097664835,0.19170801132051393,19.287425447345207,1.405960357860306
1998-08-01,Namibia,Malawi,2.0,1.0,African Cup of Nations qualification,Windhoek,Namibia,False,0.3834143594491899,21.61400006025059,0.4177080997745268,22.27233694320116,0.21374921738533523
1998-08-01,Uganda,Rwanda,5.0,0.0,African Cup of Nations qualification,Kampala,Uganda,False,0.6711151888197807,22.3922081004051,0.1986135272092046,21.26498105930114,0.7107138004105873
1998-08-02,Mali,Cape Verde,3.0,0.0,African Cup of Nations qualification,Bamako,Mali,False,0.6154283184153575,23.102430030236764,0.2179677917993091,22.46055077096846,0.3735036571588054
1998-08-02,Botswana,Mozambique,0.0,0.0,African Cup of Nations qualification,Gaborone,Botswana,False,0.17081870933788457,19.885564562255936,0.5865452942681532,22.202048258985283,0.3032675312490766
1998-08-02,Burundi,Tanzania,1.0,0.0,African Cup of Nations qualification,Bujumbura,Burundi,False,0.6119104605319319,22.59769117683188,0.6486557636377076,21.89611011663982,0.21674600060932697
1998-08-02,Chad,Congo,1.0,1.0,African Cup of Nations qualification,N'Djamena,Chad,False,0.34201235920807826,22.065599148895526,0.46779806451487277,22.994419785652603,0.2518080394263535
1998-08-02,Equatorial Guinea,Gabon,0.0,2.0,African Cup of Nations qualification,Bata,Equatorial Guinea,False,0.2702805853691943,21.33254949814446,0.6010429488079839,22.82382827428073,0.27498782795963067
1998-08-02,Lesotho,Mauritius,1.0,1.0,African Cup of Nations qualification,Maseru,Lesotho,False,0.5001515992482386,21.076966705462375,0.5190249215881078,21.07605809964315,0.34880134841801647
1998-08-02,Niger,Liberia,2.0,1.0,African Cup of Nations qualification,Niamey,Niger,False,0.4446749311988085,21.949056212364066,0.35767647348568626,22.257591812541005,0.2995385100157922
1998-08-02,São Tomé and Príncipe,Togo,0.0,4.0,African Cup of Nations qualification,Libreville,Gabon,True,0.5134529158921947,25.0,8.333,22.58852726316842,0.24304895896874978
1998-08-02,Eswatini,Madagascar,1.0,2.0,African Cup of Nations qualification,Mbabane,Eswatini,False,0.3695095614096716,21.22944411283893,0.5816201629892174,22.07050585398382,0.43159273927510927
1998-08-08,Zambia,Namibia,1.0,1.0,COSAFA Cup,Lusaka,Zambia,False,0.7394298498826659,23.07116257656671,0.17055599591061177,21.660517562146413,0.4118079282725396
1998-08-14,Algeria,Libya,3.0,0.0,African Cup of Nations qualification,Algiers,Algeria,False,0.6290371860620746,23.350200940294506,0.20140937002673018,22.642192069201307,0.3308288682360405
1998-08-15,Malawi,Namibia,0.0,1.0,African Cup of Nations qualification,Blantyre,Malawi,False,0.6001874651063677,22.260156035368833,0.21296274923179925,21.699110538247343,0.4061356623131011
1998-08-15,Mozambique,Botswana,2.0,1.0,African Cup of Nations qualification,Maputo,Mozambique,False,0.8142703814008012,22.16894546886317,0.30109287217230757,20.00939171258641,0.5706531722528106
1998-08-15,Kenya,Djibouti,9.0,1.0,African Cup of Nations qualification,Nairobi,Kenya,False,0.7916824983639066,22.106394181143763,0.1912678938280957,19.24256380733719,1.2202933876602797
1998-08-15,Tanzania,Burundi,0.0,1.0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,0.3834716732135198,21.89394252994453,0.21595739115503346,22.617104632758704,0.6272020361003426
1998-08-16,Liberia,Niger,2.0,0.0,African Cup of Nations qualification,Monrovia,Liberia,False,0.5472361971576789,22.238709107992225,0.2973694247032659,21.975980214572516,0.35397763075243116
1998-08-16,Rwanda,Uganda,0.0,0.0,African Cup of Nations qualification,Kigali,Rwanda,False,0.28144507530272345,20.96607756983342,0.682736424057034,22.415551232973716,0.19801405115618434
1998-08-16,Gabon,Equatorial Guinea,3.0,0.0,African Cup of Nations qualification,Libreville,Gabon,False,0.7361818642955329,22.829804568871847,0.2733678214503356,21.30399884362188,0.5839334405358914
1998-08-16,Cape Verde,Mali,0.0,0.0,African Cup of Nations qualification,Praia,Cape Verde,False,0.37198078671145474,22.407379800078495,0.36926876359550775,23.120537990061,0.21712929393917185
1998-08-16,Congo,Chad,0.0,0.0,African Cup of Nations qualification,Pointe-Noire,Congo,False,0.6517706692315084,22.985045107742447,0.25053405502486104,22.09795359828601,0.45957823126118463
1998-08-16,Angola,Benin,2.0,0.0,African Cup of Nations qualification,Luanda,Angola,False,0.6982472970698653,22.7177094262951,0.30174410712532096,21.56653146182708,0.35419755087512944
1998-08-18,Togo,São Tomé and Príncipe,2.0,0.0,African Cup of Nations qualification,Lomé,Togo,False,0.6762925061411517,22.59354387043771,0.24295385447232218,19.10307863807425,2.3606785472585647
1998-08-19,Bosnia and Herzegovina,Faroe Islands,1.0,0.0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False,0.7750932857105199,22.64213315488444,0.687998442674887,20.652624338066648,0.39904552210956645
1998-08-23,Mauritius,Lesotho,3.0,1.0,African Cup of Nations qualification,Curepipe,Mauritius,False,0.4998568582434,21.076075396200054,0.34546544041092286,21.076928407138038,0.50796854041049
1998-08-30,Angola,Zimbabwe,2.0,1.0,COSAFA Cup,Luanda,Angola,False,0.5440626136493335,22.730141624461353,0.29952622173406007,22.492663599311403,0.23669682071487907
1998-09-02,Cook Islands,Samoa,2.0,1.0,Oceania Nations Cup qualification,Avarua,Cook Islands,False,0.4830474229343823,17.760667745883634,2.132669458371766,18.136529011233698,1.5146422296672832
1998-09-02,Romania,Liechtenstein,7.0,0.0,UEFA Euro qualification,Bucharest,Romania,False,0.9772911524849596,24.223750578630334,0.17379738506648182,19.632845682643467,0.514168228350184
1998-09-02,Tonga,American Samoa,3.0,0.0,Oceania Nations Cup qualification,Avarua,Cook Islands,True,0.32324281859323767,16.613998618323194,1.1874392313065887,19.898410318051464,1.9367581280617614
1998-09-03,Tahiti,Tonga,5.0,0.0,Oceania Nations Cup qualification,Avarua,Cook Islands,True,0.725219553525684,19.547135152094963,0.5855652249274346,17.407929318487746,1.1099010839610544
1998-09-03,Cook Islands,American Samoa,4.0,3.0,Oceania Nations Cup qualification,Avarua,Cook Islands,False,0.5247769418170375,18.247943576748707,1.713901356510856,17.786329249890283,1.5780924104143568
1998-09-05,Republic of Ireland,Croatia,2.0,0.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,0.3571474698554331,23.946683223783147,0.18993296597193882,24.762250772587542,0.43781273544534977
